H2,C2H2,C2H4,C2H6,CH4,C3H8,TCG,CO,CO2,normality
27,0,104,63,74,62,326,543,2702,0
23,0,92,93,87,79,379,535,2432,0
158,90,304,241,209,184,1218,499,2702,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
15,0,8,35,30,20,125,400,2000,0
53,0,500,109,339,184,1182,400,2000,0
145,0,500,308,760,400,2500,400,2000,0
10,0,13,178,161,75,427,400,2000,0
10,0,13,220,209,92,543,406,2000,0
10,0,15,249,223,107,594,400,2000,0
10,0,19,328,196,128,669,400,2000,0
10,0,24,406,230,149,801,400,2000,0
10,0,14,201,177,84,481,400,2000,0
10,0,13,241,215,104,576,411,2000,0
10,0,15,273,230,117,649,406,2000,0
10,0,20,382,223,144,754,400,2000,0
10,0,25,432,245,163,876,400,2000,0
10,0,10,152,87,75,326,400,2000,0
10,0,11,178,120,77,390,400,2000,0
10,0,11,195,109,87,402,400,2000,0
10,0,11,213,142,95,467,400,2000,0
10,0,12,220,137,98,481,400,2000,0
89,2,500,178,411,20,1113,400,2000,0
102,2,500,152,350,20,1018,400,2000,0
72,1,480,123,270,20,825,400,2000,0
139,4,500,201,483,20,1333,400,2000,0
122,4,500,201,483,20,1333,400,2000,0
10,0,171,157,177,114,630,400,2061,0
10,0,185,183,161,124,649,400,2000,0
256,0,500,207,606,296,2218,400,2000,0
34,1,178,85,96,121,511,400,2000,0
589,4,500,459,760,400,2500,400,2000,0
10,0,8,35,30,42,125,400,2000,0
10,0,27,71,41,62,208,400,2000,0
18,0,139,157,120,124,559,400,2000,0
60,1,292,172,209,168,903,400,3542,0
89,4,424,189,298,201,1182,400,3386,0
10,0,10,35,41,20,125,535,4243,0
10,0,9,35,44,20,125,472,4372,0
10,0,8,35,30,20,125,543,4931,0
615,3,500,349,760,400,2500,521,4243,0
800,4,500,587,760,400,2500,521,3002,0
10,0,8,35,120,20,154,400,3542,0
10,0,113,382,33,20,511,558,3650,0
10,0,96,359,30,20,467,521,2957,0
22,0,145,406,196,279,1049,400,2000,0
14,0,133,419,209,263,1018,400,3236,0
235,4,500,552,626,305,1967,400,2000,0
10,4,500,605,760,20,2027,400,2000,0
10,3,500,624,760,20,2027,400,2000,0
10,2,500,605,760,400,2285,400,2000,0
10,1,500,587,712,20,1909,400,2000,0
72,0,42,35,61,20,202,453,2396,0
36,27,47,35,52,20,169,400,2000,0
41,43,54,35,57,20,208,582,2000,0
31,20,49,35,52,20,159,535,2000,0
46,23,51,35,54,20,190,543,2000,0
53,0,500,172,339,20,903,400,2000,0
10,0,424,127,398,324,988,400,2000,0
10,0,292,157,279,296,801,400,2325,0
800,8,500,750,760,400,2500,400,2000,0
800,8,500,750,760,400,2500,400,2000,0
10,0,10,207,109,82,414,400,2000,0
10,0,9,195,109,87,402,400,2000,0
10,0,10,220,124,101,453,400,2000,0
10,0,12,299,128,114,543,400,2000,0
10,0,13,308,128,121,576,400,2000,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
89,2,500,65,262,158,1113,400,2000,0
122,3,500,88,339,207,1458,400,2000,0
36,0,39,459,82,296,903,400,2000,0
69,0,37,459,93,305,959,400,2000,0
93,0,45,519,109,324,1081,406,2000,0
98,0,40,519,102,334,1081,400,2000,0
86,0,39,552,117,334,1113,423,2000,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,447,2743,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
46,49,8,35,40,98,234,400,2000,0
14,0,40,750,245,400,1694,400,4179,0
15,0,40,750,253,400,1745,400,4243,0
18,0,56,750,253,400,2027,472,4055,0
21,0,56,750,262,400,2089,417,4307,0
21,0,54,750,245,400,2027,411,4117,0
116,20,19,35,30,20,242,558,2000,1
93,25,20,35,30,20,221,453,2000,1
72,22,20,35,30,20,202,499,2000,1
60,18,18,35,30,20,179,400,2000,1
51,15,18,35,30,20,164,411,2000,1
12,0,30,35,54,87,336,423,2000,1
10,0,22,35,54,98,357,406,2000,1
26,0,22,35,70,107,414,453,2000,1
55,0,30,35,93,168,649,459,2000,1
48,0,34,35,113,220,825,441,2000,1
10,0,15,35,30,20,307,632,2702,1
10,0,8,35,33,20,125,486,2000,1
20,0,171,35,35,20,326,429,2000,1
180,2,500,35,760,400,2500,400,2000,1
215,3,500,35,760,400,2500,400,2000,1
10,46,500,35,328,400,2500,1600,9000,1
10,49,500,35,350,400,2500,1600,9000,1
10,46,500,35,361,400,2500,1600,9000,1
10,52,500,35,453,400,2500,1600,9000,1
10,55,500,35,483,400,2500,1600,9000,1
158,0,14,35,82,271,801,472,2000,1
188,0,15,35,82,271,850,472,2222,1
224,0,15,35,99,296,988,492,2583,1
197,0,18,35,77,296,959,435,2030,1
215,0,18,35,87,305,1018,459,2000,1
173,0,14,35,84,263,825,479,2030,1
224,0,14,35,90,279,930,499,2432,1
235,0,15,35,99,296,959,492,2290,1
188,0,18,35,93,315,988,447,2290,1
206,0,18,35,82,305,988,453,2000,1
151,0,14,35,63,255,754,435,2000,1
215,0,16,35,77,271,850,453,2061,1
206,0,14,35,87,288,903,466,2124,1
224,0,14,35,87,288,930,472,2189,1
245,0,17,35,79,305,988,447,2000,1
60,0,292,35,52,110,481,574,9000,1
10,0,44,35,30,95,137,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,157,35,47,46,281,400,3762,1
10,0,14,35,106,163,390,400,2000,1
151,0,442,35,328,213,988,400,2000,1
133,0,442,35,339,195,988,400,2000,1
82,0,390,35,298,163,876,400,2000,1
122,0,500,35,411,296,1255,447,2124,1
34,0,157,35,84,355,1182,499,3002,1
10,0,128,35,46,377,1049,400,2256,1
51,2,123,35,113,55,414,400,2000,1
34,1,210,35,84,207,801,400,2030,1
29,0,238,35,128,344,1293,400,2506,1
